customer_id,recencia,frecuencia,monto,cluster
12346,326,12,77556.46,1
12347,3,8,5633.32,1
12348,76,5,2019.4,1
12349,19,4,4428.69,1
12350,311,1,334.4,1
12351,376,1,300.93,1
12352,37,10,2849.84,1
12353,205,2,406.76,1
12354,233,1,1079.4,1
12355,215,2,947.61,1
12356,23,6,6373.68,1
12357,34,3,18287.66,1
12358,2,5,3887.07,1
12359,58,10,8935.94,1
12360,53,8,4252.89,1
12361,288,4,511.25,1
12362,4,11,5356.23,1
12363,110,2,552.0,1
12364,8,4,1313.1,1
12365,292,2,641.38,1
12366,634,1,500.24,1
12367,5,1,168.9,1
12368,629,1,917.6999999999999,1
12369,414,3,1791.15,1
12370,52,7,4320.31,1
12371,45,5,4067.38,1
12372,72,3,1298.04,1
12373,312,3,1127.65,1
12374,26,4,2989.2200000000003,1
12375,11,2,457.5,1
12376,390,2,503.15,1
12377,316,4,3426.32,1
12378,130,2,5416.32,1
12379,82,4,1620.22,1
12380,22,11,9676.300000000001,1
12381,5,5,1845.31,1
12383,185,5,1850.56,1
12384,29,2,585.27,1
12385,380,1,1938.4,1
12386,338,2,660.8,1
12387,416,1,143.94,1
12388,16,8,3901.11,1
12389,403,3,1433.33,1
12390,80,1,549.84,1
12391,22,6,2773.42,1
12392,592,1,234.75000000000003,1
12393,73,6,2399.4500000000003,1
12394,64,2,1272.48,1
12395,20,15,5067.27,1
12396,675,1,931.43,1
12397,36,2,2409.9,1
12398,46,1,1635.6599999999999,1
12399,120,7,1962.3,1
12400,415,1,205.25,1
12401,304,1,84.3,1
12402,324,6,1256.9,1
12403,50,2,1019.36,1
12404,683,1,63.24,1
12405,149,1,1710.39,1
12406,23,5,6390.36,1
12407,50,5,1708.1200000000001,1
12408,33,8,4340.7699999999995,1
12409,79,7,23419.29,1
12410,309,3,1013.71,1
12411,410,1,346.9,1
12412,75,6,2596.93,1
12413,67,4,999.45,1
12414,218,6,952.41,1
12415,25,28,144458.37,1
12416,657,1,202.56,1
12417,4,20,6816.91,1
12418,113,4,2021.2,1
12419,386,2,503.01,1
12420,64,1,600.39,1
12421,16,6,1098.6,1
12422,96,17,5231.8,1
12423,1,10,2622.39,1
12424,163,4,3340.03,1
12425,79,2,1741.41,1
12426,195,2,1345.21,1
12427,22,3,1129.3,1
12428,26,9,7956.46,1
12429,10,8,7485.91,1
12430,44,1,256.4,1
12431,36,27,10857.97,1
12432,43,5,5059.32,1
12433,1,10,20581.26,1
12434,85,3,1103.43,1
12435,80,6,13925.93,1
12436,100,1,509.01,1
12437,2,39,12683.4,1
12438,15,2,2906.85,1
12439,683,2,1158.18,1
12440,463,2,859.2,1
12441,367,1,347.1,1
12442,4,1,172.06,1
12443,733,1,485.31,1
12444,22,5,5005.46,1
12445,23,2,434.98,1
12446,58,1,1002.3100000000001,1
12447,244,1,476.49,1
12448,45,1,449.45,1
12449,23,6,4835.89,1
12450,157,5,688.2,1
12451,11,8,12669.88,1
12452,17,2,430.57,1
12453,135,1,707.09,1
12454,57,5,16679.78,1
12455,74,10,5879.95,1
12456,45,3,3181.04,1
12457,67,8,2995.91,1
12458,72,4,1777.49,1
12459,606,1,454.36,1
12460,457,1,326.65,1
12461,95,2,826.88,1
12462,19,2,1189.59,1
12463,54,4,1344.78,1
12464,11,8,1212.05,1
12465,18,2,742.1899999999999,1
12466,683,1,56.73,1
12467,424,1,132.8,1
12468,188,5,3670.74,1
12469,523,2,3070.54,1
12470,690,1,211.95,1
12471,3,79,39963.79,1
12472,33,19,17880.59,1
12473,30,5,3938.5499999999997,1
12474,18,31,12424.45,1
12475,54,2,1149.64,1
12476,16,23,14115.41,1
12477,23,9,20276.37,1
12478,4,1,680.99,1
12479,12,1,527.2,1
12480,29,7,5464.85,1
12481,23,15,12361.39,1
12482,577,29,23691.4,1
12483,18,19,5120.58,1
12484,33,12,6370.15,1
12485,530,1,708.1,1
12486,432,1,1037.28,1
12487,731,1,285.29999999999995,1
12488,10,3,1298.66,1
12489,337,1,334.93,1
12490,6,21,9823.64,1
12491,39,1,460.40000000000003,1
12492,64,3,715.21,1
12493,166,2,433.74,1
12494,16,9,1872.8700000000001,1
12495,641,1,357.4,1
12496,621,2,54.09,1
12497,82,3,6248.5,1
12498,22,3,403.70000000000005,1
12499,561,1,393.72,1
12500,24,19,5955.21,1
12501,337,1,2169.39,1
12502,96,5,3723.87,1
12503,585,1,1126.0,1
12504,19,4,779.05,1
12505,409,1,955.2,1
12506,233,1,73.5,1
